atom_pair,n,q1,q5
CAbb:CAbb,607,3.8061519775651433,4.00988630561775
CAbb:CH0,404,3.5124347161669593,3.650308029685485
CAbb:CH1,411,3.823389069906993,3.9248105587867013
CAbb:CH2,2374,3.721122757151159,3.865797164359603
CAbb:CH3,2067,3.5803455620559737,3.726333341873163
CAbb:CNH2,195,3.608584876647134,3.7523494953352214
CAbb:COO,273,3.634073397179039,3.7092054543863533
CAbb:CObb,2541,3.8074615215137353,4.035532430795223
CAbb:HNbb,493,2.975182256150181,3.1470391478006445
CAbb:Hapo,10713,2.954361464074954,3.1251390368503826
CAbb:Haro,1231,2.9002392482261805,3.0539464503672784
CAbb:Hpol,403,2.8149409584913143,2.9362750644398505
CAbb:NH2O,216,3.4096557685319633,3.5463680046768196
CAbb:Narg,221,3.345439902075242,3.57110081067449
CAbb:Nbb,1600,3.6446617329646407,3.9182798760226514
CAbb:Ntrp,118,3.4967895097406494,3.5623021542766105
CAbb:OCbb,7995,3.125034673211795,3.249680286140152
CAbb:OH,569,3.2461301799023805,3.3581025487714973
CAbb:ONH2,312,3.144966946577721,3.2935708736501725
CAbb:OOC,623,3.2069703646781154,3.323740508484741
CAbb:SH1,381,3.301265806919999,3.3760570196606565
CAbb:aroC,2023,3.4955680280384884,3.641328085561638
CH0:CH1,170,3.570835364430028,3.676842121603408
CH0:CH2,1419,3.4523191969444023,3.610823866908382
CH0:CH3,893,3.4228311474459194,3.574138574278484
CH0:CObb,237,3.5866665997336544,3.6830483862866195
CH0:Hapo,4154,2.702642041874144,2.866098156070784
CH0:Haro,449,2.655778332346835,2.774042344523814
CH0:Nbb,171,3.4534203544556514,3.549407184745628
CH0:OCbb,362,3.2237297356284564,3.3823435087283076
CH0:aroC,795,3.4316609822144324,3.581717474670537
CH1:CH2,827,3.392090553276121,3.7812426198398366
CH1:CH3,1075,3.626862151279681,3.763402234428497
CH1:CObb,532,3.7654760538557444,3.8890568061289805
CH1:HNbb,123,2.775253683432365,2.845441552056402
CH1:Hapo,4335,2.9452899768065173,3.085606874654376
CH1:Haro,428,2.8853912294875403,3.0199434096285853
CH1:Nbb,225,3.6752697358255273,3.835270627002383
CH1:OCbb,1391,3.1769847668414988,3.3182190963367137
CH1:OH,135,3.3113551815169533,3.3827304236709255
CH1:OOC,124,3.111163422460165,3.2753153591884825
CH1:aroC,751,3.5900789122199575,3.7151640585377947
CH2:CH2,2356,3.3867064546364474,3.564295229446045
CH2:CH3,4474,3.4967947106763906,3.667872217164563
CH2:CNH2,370,3.6035941156024562,3.7270992101388343
CH2:COO,674,3.452151589261269,3.618752574223704
CH2:CObb,3232,3.4571677529995766,3.750175488682026
CH2:HNbb,396,2.7530557812923586,2.871497573660359
CH2:Hapo,17789,2.841920206765535,3.0047446802840847
CH2:Haro,2233,2.8373363680633803,3.0068232650191318
CH2:Hpol,563,2.6708725942444387,2.7793281994731456
CH2:NH2O,375,3.3762021412753493,3.5593596322003993
CH2:Narg,330,3.3609152343761632,3.5630823769190734
CH2:Nbb,1103,3.5425951516683556,3.701347071617064
CH2:Ntrp,236,3.3277527153487956,3.479931281349211
CH2:OCbb,6544,3.1339760843464877,3.258388840968002
CH2:OH,906,3.163530889221489,3.303437254151847
CH2:ONH2,397,3.1462216239126994,3.26763991048692
CH2:OOC,1173,3.115578450111059,3.2750722981290026
CH2:S,174,3.613500793602674,3.662159575008702
CH2:SH1,495,2.960157276097436,2.9948232296555073
CH2:aroC,5152,3.4825458113201844,3.618900432666595
CH3:CH3,3146,3.49758909553273,3.629262273071998
CH3:CNH2,233,3.472304330748705,3.558138382418843
CH3:COO,247,3.456919387928221,3.5360811254622284
CH3:CObb,2080,3.496316250360493,3.6922368287859584
CH3:HNbb,115,2.826201019965869,2.9435950442703924
CH3:Hapo,19374,2.7806966057171576,2.935268054078559
CH3:Haro,1990,2.762642814359832,2.92501088867445
CH3:Hpol,282,2.6084176773073136,2.851424169726357
CH3:NH2O,214,3.373133450420061,3.4343571478913755
CH3:Narg,221,3.376739313499241,3.494829752648903
CH3:Nbb,1115,3.4634352028180375,3.6183146214015247
CH3:Ntrp,138,3.313737981133306,3.440516609754546
CH3:OCbb,2975,3.1965891400050297,3.314242628104217
CH3:OH,421,3.1719081982415527,3.3274027408776434
CH3:ONH2,169,3.1747759541944447,3.2954948056758795
CH3:OOC,317,3.207443086196246,3.3470831315543808
CH3:S,196,3.449840165169284,3.633495009643946
CH3:SH1,236,3.373426998602442,3.588885078563595
CH3:aroC,3966,3.4539419493612016,3.594157128448504
CNH2:CObb,124,3.6709170931168305,3.7209864526630514
CNH2:HNbb,162,2.563439371724797,2.661233475690459
CNH2:Hapo,1186,2.7784754534956475,2.892826904414729
